sample_id	sample_present	seq_lab_id	genome_fraction_20x	enough_coverage	freyja_demix_status	freyja_num_variants	freyja_num_unique_freqs	sample_status
20230518NY023027561A	ok	suny_upstate	5.685048322911e-4	no	NA	NA	NA	low_coverage
20230831NY051032328A	ok	u_of_rochester	0.6872220178577401	yes	solver_warning	25	18	ok
20230712NY119026786A	ok	nymc	0	no	NA	NA	NA	low_coverage
20230801NY093020516A	ok	wadsworth	5.685048322911e-4	no	NA	NA	NA	low_coverage
20230829NY037026514A	ok	u_of_rochester	0.0036451192188074	no	NA	NA	NA	low_coverage
20230209NY055021610A	ok	u_of_rochester	0.9797679162625824	yes	ok	130	130	ok
20230511NY035026042A	ok	wadsworth	0.2039594689496039	no	NA	NA	NA	low_coverage
20230517NY049020125A	ok	suny_upstate	0.9522455940875496	yes	ok	16	15	ok
20230515NY113029050A	ok	wadsworth	0.0011035682038593	no	NA	NA	NA	low_coverage
20230814NY013027961A	ok	suny_buffalo	0.946694311607531	yes	ok	26	23	ok
20230301NY123029726A	ok	u_of_rochester	0.9412099120489584	yes	ok	77	73	ok
20230105NY025029271A	ok	wadsworth	0.9754205263685918	yes	ok	81	80	ok
20230404NY051024384A	ok	u_of_rochester	0.7252115172390731	yes	solver_warning	16	11	ok
20230110NY101021431A	ok	u_of_rochester	2.842170943040401e-16	no	NA	NA	NA	low_coverage
20230207NY027149209A	ok	nymc	5.016219108453e-4	no	NA	NA	NA	low_coverage
20230216NY065025780C	ok	wadsworth	0.7544393539109788	yes	solver_warning	34	23	ok
20230503NY091028240A	ok	wadsworth	0.9220145135939538	yes	ok	54	54	ok
20230308NY089031194A	ok	wadsworth	0.9512757917265826	yes	ok	52	50	ok
20230302NY103065358A	ok	wadsworth	0.955389091395512	yes	ok	37	36	ok
20230808NY071026328A	ok	nymc	0.9557569474634652	yes	ok	47	46	ok
20230710NY089031194A	ok	suny_upstate	0.6897970103334113	yes	solver_warning	5	3	ok
20230608NY119026786A	ok	nymc	0.2284386181988428	no	NA	NA	NA	low_coverage
20230613NY089236586A	ok	suny_upstate	0.389191719894325	no	NA	NA	NA	low_coverage
20230102NY119026701A	ok	nymc	0.739925759957195	yes	ok	132	106	ok
20230509NY029026395B	ok	suny_buffalo	0.9377320001337658	yes	ok	50	48	ok
20230503NY059026859A	ok	wadsworth	0.9697354780456808	yes	ok	76	75	ok
20230717NY091028240A	ok	wadsworth	0.1822894024010969	no	NA	NA	NA	low_coverage
